date,value
2020-01-01,230.16
2020-04-01,232.34
2020-07-01,237.19
2020-10-01,241.9
2021-01-01,249.56
2021-04-01,264.6
2021-07-01,280.66
2021-10-01,295.46
2022-01-01,311.63
2022-04-01,333.54
2022-07-01,343.28
2022-10-01,341.75
2023-01-01,345.32
2023-04-01,353.4
2023-07-01,359.53
2023-10-01,361.17
2024-01-01,366.44
2024-04-01,372.78
2024-07-01,376.64
2024-10-01,376.3
