STALPBR,BKCLASS,ZIPBR,DEPSUM,MSABR,UNINUMBR,ASSET,CNTYNAMB,ADDRESBR,YEAR,STCNTYBR,DEPSUMBR,MSANAMB,CERT,CITYBR,BRNUM,ID
GA,NM,30305,22113152,12060,14145.0,26601583,Fulton,3490 Piedmont Rd Ne,2025,13121,2255260,"Atlanta-Sandy Springs-Roswell, GA",20504,Atlanta,0,2025_20504_0
GA,NM,31901,21589578,17980,556.0,26040101,Muscogee,1111 Bay Avenue,2012,13215,3094182,"Columbus, GA-AL",873,Columbus,0,2012_873_0
GA,NM,30305,21574192,12060,14145.0,26428915,Fulton,3490 Piedmont Rd Ne,2024,13121,2354282,"Atlanta-Sandy Springs-Roswell, GA",20504,Atlanta,0,2024_20504_0
GA,NM,31901,21218220,17980,556.0,26322184,Muscogee,1111 Bay Avenue,2014,13215,3006279,"Columbus, GA-AL",873,Columbus,0,2014_873_0
GA,NM,31901,20922892,17980,556.0,26194503,Muscogee,1148 Broadway,2013,13215,3112261,"Columbus, GA-AL",873,Columbus,0,2013_873_0
GA,NM,30305,20544509,12060,14145.0,25706121,Fulton,3490 Piedmont Rd Ne,2023,13121,2489329,"Atlanta-Sandy Springs-Roswell, GA",20504,Atlanta,0,2023_20504_0
GA,NM,30305,19832780,12060,14145.0,23591556,Fulton,"3490 Piedmont Rd, Ne, Suite 1550",2022,13121,1973607,"Atlanta-Sandy Springs-Alpharetta, GA",20504,Atlanta,0,2022_20504_0
GA,NM,30305,18396025,12060,14145.0,21791489,Fulton,"3490 Piedmont Rd, Ne, Suite 1550",2021,13121,2331898,"Atlanta-Sandy Springs-Alpharetta, GA",20504,Atlanta,0,2021_20504_0
GA,NM,30512,16592708,0,10978.0,18867020,Union,177 Highway 515 East,2021,13291,1042193,,16889,Blairsville,0,2021_16889_0
GA,N,30309,16217322,12060,3336.0,18853384,Fulton,"1349 W Peachtree St Nw, Ste 100",2020,13121,2248571,"Atlanta-Sandy Springs-Alpharetta, GA",4999,Atlanta,0,2020_4999_0
GA,N,30309,16087430,12060,3336.0,18674970,Fulton,"1349 W Peachtree St Nw, Ste 100",2021,13121,2151231,"Atlanta-Sandy Springs-Alpharetta, GA",4999,Atlanta,0,2021_4999_0
GA,NM,30305,15662243,12060,14145.0,19785622,Fulton,"3490 Piedmont Rd, Ne, Suite 1550",2020,13121,1420533,"Atlanta-Sandy Springs-Alpharetta, GA",20504,Atlanta,0,2020_20504_0
GA,N,30309,14531866,12060,3336.0,17472019,Fulton,"1349 West Peachtree Street, Suite 100",2019,13121,2315109,"Atlanta-Sandy Springs-Alpharetta, GA",4999,Atlanta,0,2019_4999_0
GA,NM,30512,13025861,0,10978.0,14976428,Union,177 Highway 515 East,2020,13291,1164458,,16889,Blairsville,0,2020_16889_0
GA,NM,30512,10665927,0,10978.0,12758328,Union,177 Highway 515 East,2019,13291,735523,,16889,Blairsville,0,2019_16889_0
GA,NM,30512,10047068,0,10978.0,12370114,Union,177 Highway 515 East,2018,13291,915201,,16889,Blairsville,0,2018_16889_0
GA,NM,31768,9594935,0,14145.0,11803277,Colquitt,300 South Main Street,2019,13071,632214,,20504,Moultrie,0,2019_20504_0
GA,NM,30512,8820998,0,10978.0,10817173,Union,177 Highway 515 East,2017,13291,858754,,16889,Blairsville,0,2017_16889_0
GA,NM,31768,8770226,0,14145.0,11098391,Colquitt,300 South Main Street,2018,13071,762715,,20504,Moultrie,0,2018_20504_0
GA,N,30308,8683195,12060,1424.0,16070421,Fulton,"600 Peachtree Street, N.E.",1995,13121,84539,"Atlanta-Sandy Springs-Roswell, GA",2155,Atlanta,0,1995_2155_0
