date,value,vintage_date,realtime_start,realtime_end
2024-02-01,311.022,2026-01-13,2026-01-13,2026-01-13
2024-03-01,312.107,2026-01-13,2026-01-13,2026-01-13
2024-04-01,313.016,2026-01-13,2026-01-13,2026-01-13
2024-05-01,313.14,2026-01-13,2026-01-13,2026-01-13
2024-06-01,313.131,2026-01-13,2026-01-13,2026-01-13
2024-07-01,313.566,2026-01-13,2026-01-13,2026-01-13
2024-08-01,314.131,2026-01-13,2026-01-13,2026-01-13
2024-09-01,314.851,2026-01-13,2026-01-13,2026-01-13
2024-10-01,315.564,2026-01-13,2026-01-13,2026-01-13
2024-11-01,316.449,2026-01-13,2026-01-13,2026-01-13
2024-12-01,317.603,2026-01-13,2026-01-13,2026-01-13
2025-01-01,319.086,2026-01-13,2026-01-13,2026-01-13
2025-02-01,319.775,2026-01-13,2026-01-13,2026-01-13
2025-03-01,319.615,2026-01-13,2026-01-13,2026-01-13
2025-04-01,320.321,2026-01-13,2026-01-13,2026-01-13
2025-05-01,320.58,2026-01-13,2026-01-13,2026-01-13
2025-06-01,321.5,2026-01-13,2026-01-13,2026-01-13
2025-07-01,322.132,2026-01-13,2026-01-13,2026-01-13
2025-08-01,323.364,2026-01-13,2026-01-13,2026-01-13
2025-09-01,324.368,2026-01-13,2026-01-13,2026-01-13
2025-10-01,,2026-01-13,2026-01-13,2026-01-13
2025-11-01,325.031,2026-01-13,2026-01-13,2026-01-13
2025-12-01,326.03,2026-01-13,2026-01-13,2026-01-13
2023-01-01,300.42,2026-02-13,2026-02-13,2026-02-13
2023-02-01,301.45,2026-02-13,2026-02-13,2026-02-13
2023-03-01,301.821,2026-02-13,2026-02-13,2026-02-13
2023-04-01,302.845,2026-02-13,2026-02-13,2026-02-13
2023-05-01,303.334,2026-02-13,2026-02-13,2026-02-13
2023-06-01,304.014,2026-02-13,2026-02-13,2026-02-13
2023-07-01,304.609,2026-02-13,2026-02-13,2026-02-13
2023-08-01,306.082,2026-02-13,2026-02-13,2026-02-13
2023-09-01,307.276,2026-02-13,2026-02-13,2026-02-13
2023-10-01,307.696,2026-02-13,2026-02-13,2026-02-13
2023-11-01,308.148,2026-02-13,2026-02-13,2026-02-13
2023-12-01,308.741,2026-02-13,2026-02-13,2026-02-13
2024-01-01,309.698,2026-02-13,2026-02-13,2026-02-13
2024-02-01,310.967,2026-02-13,2026-02-13,2026-02-13
